,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Physical exposure to earthquake MMI VI (absolute),Physical exposure to earthquake MMI VIII (absolute),Physical exposure to earthquake (absolute),Annual Expected Exposed People to River Floods,Annual Expected Exposed People to Tsunamis,Annual Expected Exposed People to Cyclone's Wind SS1,Annual Expected Exposed People to Cyclone's Wind SS3,Annual Expected Exposed People to Cyclone's Wind (absolute),Physical exposure to coastal flood (absolute),People affected by droughts (absolute),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Physical exposure to earthquake MMI VI (relative),Physical exposure to earthquake MMI VIII (relative),Physical exposure to earthquake (relative),Physical exposure to river flood (relative),Physical exposure to tsunami (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 1 (relative),Physical exposure to tropical cyclone of Saffir-Simpson category 3 (relative),Physical exposure to tropical cyclone wind (relative),Physical exposure to coastal flood (relative),People affected by droughts (relative),Frequency of Drought events,Physical exposure to earthquake MMI VI,Physical exposure to earthquake MMI VIII,Physical exposure to tropical cyclone of Saffir-Simpson category 1,Physical exposure to tropical cyclone of Saffir-Simpson category 3,Physical exposure to tropical cyclone wind,People affected by droughts,Physical exposure to earthquake ,Physical exposure to river flood,Physical exposure to tsunami,Physical exposure to tropical cyclone,Physical exposure to coastal flood,People affected by droughts and Frequency of events,Agriculture Droughts probability,Droughts probability and historical impact,Population exposed to CCHF (absolute),Population exposed to CCHF (relative,Population exposed to CCHF (relative),Physical exposure to CCHF,Population exposed to EDV (absolute),Population exposed to EDV (relative),Population exposed to EDV (relative),Physical exposure to EDV,Population exposed to Lassa Fever (absolute),Population exposed to Lassa Fever (relative),Population exposed to Lassa Fever (relative),Physical exposure to Lassa Fever,Population exposed to MVD (absolute),Population exposed to MVD (relative),Population exposed to MVD (relative),Physical exposure to MVD,Physical exposure to zoonones,Populations at risk of malaria (absolute),Populations at risk of malaria (relative),Populations at risk of malaria (relative),Populations at risk of malaria,Population exposed to Zika (absolute),Population exposed to Zika (relative),Population exposed to Zika (relative),Population exposed to Zika,Population at Risk to Aedes (absolute),Population at Risk to Aedes (relative),Population at Risk to Aedes (relative),Population at Risk to Aedes,Population exposed to Dengue (absolute),Population exposed to Dengue (relative),Population exposed to Dengue (relative),Population exposed to Dengue,Physical exposure to vectorborne,Sanitation,Drinking water,Hygiene,WaSH,Population density,Urban population growth,Population living in urban areas,Household size,Population,P2P,Population living in slums (% of urban population),Children under 5,Population,People practicing open defecation,WaSH,Number of vets per capita,Number of vets,IHR capacity score: Food safety,Food,Waterborne - Foodborne,Physical exposure to epidemics,INFORM Natural Hazard,Projected Conflict Probability,Current Conflict Intensity,INFORM Human Hazard,,
Indonesia,IDN,10.0,10.0,10.0,9.4,10.0,4.9,0.0,2.8,9.6,10.0,0.18%,0.02%,0.6096%,0.00%,0.00%,0.00%,0.10%,0.20%,9.1,1.2,6.6,6.7,8.3,0.0,0.0,0.0,5.3,0.7,3.8,9.6,5.6,2.5,0.0,1.3,7.7,8.9,8.4,9.3,1.5,8.1,5.8,0.8,3.3,9.5,17.29%,1.9,7.3,x,x,x,x,x,x,x,x,x,x,x,x,7.3,10.0,100.0%,10.0,10.0,10.0,87.27%,9.7,9.9,10.0,89.97%,9.0,9.6,10.0,93.20%,9.3,9.7,9.8,1.3,1.0,2.1,1.5,7.2,3.7,5.9,4.6,5.4,4.1,2.2,1.9,4.3,1.4,1.5,0.00%,9.7,4.0,6.9,4.2,7.2,7.4,8.7,5.6,7.5,,
Iran,IRN,10.0,10.0,10.0,8.0,6.4,4.4,1.2,3.0,8.6,10.0,0.21%,0.07%,0.5150%,0.00%,0.00%,0.00%,0.12%,1.33%,10.0,3.3,8.2,6.4,4.5,0.0,0.0,0.0,5.5,4.4,1.9,10.0,6.7,2.2,0.6,1.4,8.4,9.3,7.3,5.5,1.6,7.4,5.2,7.5,6.4,9.8,81.21%,9.0,9.4,x,x,x,x,x,x,x,x,x,x,x,x,9.4,7.1,1.0%,0.1,4.5,6.9,0.76%,0.1,4.3,9.3,35.33%,3.5,7.4,8.6,11.86%,1.2,6.1,5.7,1.1,0.4,x,0.8,5.8,2.6,7.7,3.8,5.0,3.6,5.0,1.0,4.3,0.1,0.5,0.02%,8.3,2.0,5.2,3.3,6.3,6.7,9.4,4.7,7.8,,
Iraq,IRQ,8.4,4.2,6.8,9.4,0.0,0.0,0.0,0.0,5.8,10.0,0.10%,0.00%,3.7192%,0.00%,0.00%,0.00%,0.01%,0.43%,4.8,0.0,2.7,9.7,0.0,0.0,0.0,0.0,2.9,1.4,1.9,6.6,2.1,0.0,0.0,0.0,7.8,5.1,9.6,0.0,0.0,4.5,4.9,10.0,7.5,9.4,85.36%,9.5,9.5,x,x,x,x,x,x,x,x,x,x,x,x,9.5,0.0,0.0%,0.0,0.0,7.8,5.88%,0.7,5.2,9.2,64.04%,6.4,8.1,9.4,86.50%,8.7,9.1,6.6,0.2,0.3,0.3,0.3,6.7,5.2,7.2,10.0,7.3,5.0,5.5,4.8,6.6,0.0,0.2,0.01%,8.9,6.0,7.5,4.8,7.0,5.9,10.0,7.7,9.2,,
Ireland,IRL,0.1,0.1,0.1,3.5,1.4,0.0,0.0,0.0,6.0,0.0,0.00%,0.00%,0.0933%,0.00%,0.00%,0.00%,0.16%,0.00%,0.0,0.0,0.0,3.5,2.2,0.0,0.0,0.0,5.8,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,3.5,1.8,0.0,5.9,0.0,1.7,0.9,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,1.2,0.7,x,1.0,6.2,6.1,6.4,2.1,5.2,3.8,0.9,0.3,3.7,0.0,0.6,0.04%,5.8,0.0,2.9,2.4,1.7,2.2,0.1,0.0,0.1,,
Israel,ISR,7.3,4.3,6.0,0.5,2.6,0.0,0.0,0.0,3.2,0.0,0.20%,0.00%,0.0025%,0.00%,0.00%,0.00%,0.01%,0.00%,10.0,0.2,7.6,0.0,2.8,0.0,0.0,0.0,1.5,0.0,1.0,8.7,2.3,0.0,0.0,0.0,0.0,6.9,0.3,2.7,0.0,2.4,0.5,10.0,5.3,5.0,0.32%,0.0,2.9,x,x,x,x,x,x,x,x,x,x,x,x,2.9,0.0,0.0%,0.0,0.0,7.8,31.20%,3.5,6.1,8.5,95.19%,9.5,9.1,6.2,2.51%,0.3,3.8,5.8,0.0,0.0,x,0.0,8.8,4.3,9.3,2.9,6.3,4.2,0.0,2.9,4.7,0.0,0.0,0.01%,9.1,x,9.1,4.6,4.5,3.5,7.9,8.9,8.4,,
Italy,ITA,9.5,7.3,8.6,7.0,6.8,0.0,0.0,0.0,7.7,0.0,0.18%,0.01%,0.2745%,0.00%,0.00%,0.00%,0.07%,0.00%,9.1,0.5,6.5,5.3,5.4,0.0,0.0,0.0,4.8,0.0,5.7,9.3,3.9,0.0,0.0,0.0,0.0,7.7,6.2,6.1,0.0,6.5,2.9,2.5,2.7,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,8.2,9.45%,0.9,5.7,6.4,0.48%,0.0,3.9,2.8,0.0,0.0,x,0.0,7.7,0.3,7.2,1.0,4.1,2.7,0.0,0.0,2.7,0.0,0.0,0.01%,8.7,0.0,4.4,2.4,2.0,5.0,0.2,0.0,0.1,,
Jamaica,JAM,5.8,7.0,6.4,0.0,0.0,8.2,9.0,8.6,5.3,6.0,0.20%,0.14%,0.0000%,0.00%,7.39%,1.40%,0.13%,0.09%,9.9,7.1,8.9,0.0,0.0,8.2,7.0,7.7,5.6,0.3,1.9,7.9,7.1,8.2,8.0,8.1,3.7,7.9,0.0,0.0,8.2,5.5,2.8,2.5,2.7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,7.7,82.81%,9.2,8.6,7.7,89.61%,9.0,8.4,7.7,93.23%,9.3,8.6,7.4,1.5,1.5,x,1.5,8.1,1.2,5.7,3.0,4.5,3.5,0.1,0.5,3.1,0.3,1.1,0.00%,9.8,2.0,5.9,3.4,5.1,5.0,0.1,0.0,0.1,,
Japan,JPN,10.0,10.0,10.0,8.6,10.0,10.0,10.0,10.0,10.0,0.0,0.21%,0.15%,0.6652%,0.03%,9.19%,0.14%,1.31%,0.00%,10.0,7.7,9.2,6.8,10.0,10.0,0.7,7.7,8.5,0.0,0.0,10.0,8.9,10.0,5.4,8.6,0.0,9.7,7.8,10.0,9.2,9.4,0.0,0.8,0.4,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,8.4,6.53%,0.7,5.8,9.8,59.66%,6.0,8.5,9.8,60.66%,6.1,8.5,6.6,0.0,0.1,x,0.1,8.5,0.0,9.2,0.8,4.6,3.1,0.2,0.0,3.1,0.0,0.0,0.01%,8.8,0.0,4.4,2.5,3.4,8.3,0.1,0.0,0.1,,
Jordan,JOR,7.6,5.9,6.8,0.7,0.0,0.0,0.0,0.0,0.3,7.4,0.20%,0.01%,0.0026%,0.00%,0.00%,0.00%,0.00%,0.08%,10.0,0.6,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.9,8.8,3.3,0.0,0.0,0.0,4.8,7.3,0.4,0.0,0.0,0.2,3.4,10.0,6.7,3.9,0.04%,0.0,2.2,x,x,x,x,x,x,x,x,x,x,x,x,2.2,0.0,0.0%,0.0,0.0,6.7,4.61%,0.5,4.3,8.5,72.35%,7.2,7.9,6.5,3.09%,0.3,4.1,4.7,0.3,0.2,x,0.3,7.0,1.3,9.2,6.8,6.1,4.2,1.9,3.3,4.9,0.0,0.2,0.01%,9.1,6.0,7.6,4.2,3.9,3.3,0.6,0.0,0.3,,
Kazakhstan,KAZ,7.2,7.4,7.3,7.4,0.0,0.0,0.0,0.0,0.0,5.8,0.09%,0.03%,1.1729%,0.00%,0.00%,0.00%,0.00%,0.01%,4.4,1.5,3.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,4.5,0.0,0.0,0.0,3.4,5.6,7.6,0.0,0.0,0.0,2.2,10.0,6.1,8.6,52.27%,5.8,7.5,x,x,x,x,x,x,x,x,x,x,x,x,7.5,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,7.4,8.15%,0.8,4.9,0.0,0.00%,0.0,0.0,1.5,0.2,0.8,0.1,0.4,2.8,3.3,5.8,3.6,3.9,2.7,0.1,3.5,3.2,0.0,0.3,0.27%,0.0,2.0,1.0,1.5,3.8,3.9,0.2,0.0,0.1,,
Kenya,KEN,7.0,0.1,4.4,6.1,4.0,0.0,0.0,0.0,4.3,10.0,0.03%,0.00%,0.1207%,0.00%,0.00%,0.00%,0.00%,2.96%,1.3,0.0,0.7,4.0,2.3,0.0,0.0,0.0,0.7,9.9,10.0,4.2,0.1,0.0,0.0,0.0,10.0,2.8,5.1,3.2,0.0,2.7,10.0,3.3,6.7,9.2,47.39%,5.3,7.8,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,10.0,17.91%,8.5,9.4,6.0,9.6,100.0%,10.0,9.8,8.7,21.96%,2.4,6.5,9.3,53.73%,5.4,7.9,9.2,48.38%,4.8,7.6,8.2,7.1,6.2,6.2,6.5,6.6,7.5,3.0,4.4,5.4,5.8,4.5,5.1,5.2,2.2,5.4,0.01%,8.9,4.0,6.5,5.7,6.6,4.2,9.3,6.7,8.3,,
Kiribati,KIR,0.1,0.1,0.1,0.0,4.2,0.0,0.0,0.0,5.5,6.0,0.00%,0.00%,0.0000%,0.01%,0.00%,0.00%,3.74%,1.77%,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,9.8,5.9,1.0,0.1,0.1,0.0,0.0,0.0,6.0,0.1,0.0,7.7,0.0,8.4,3.5,x,3.5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,5.0,24.93%,2.5,3.9,5.3,39.90%,4.0,4.7,2.4,6.1,4.1,4.4,4.9,7.3,5.9,5.8,9.8,7.2,6.4,0.7,4.7,5.7,10.0,6.2,0.07%,3.0,2.0,2.5,4.8,4.7,4.4,0.0,0.0,0.0,,
Korea DPR,PRK,7.9,0.1,5.2,6.7,1.5,10.0,0.0,7.6,7.3,10.0,0.12%,0.00%,0.4463%,0.00%,4.47%,0.00%,0.11%,3.39%,5.9,0.0,3.5,6.2,0.4,5.0,0.0,2.9,5.3,10.0,3.8,6.9,0.1,7.5,0.0,4.8,10.0,4.4,6.5,1.0,5.7,6.4,6.9,0.8,3.9,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,8.6,39.1%,3.9,6.9,0.0,0.00%,0.0,0.0,7.9,12.26%,1.2,5.5,0.0,0.00%,0.0,0.0,3.8,1.7,1.0,x,1.4,7.8,1.6,6.3,4.8,5.1,3.9,2.6,1.0,4.0,0.0,0.9,0.05%,5.3,4.0,4.7,3.2,2.9,4.6,0.3,0.0,0.2,,
Korea Republic of,KOR,9.4,0.1,6.8,7.6,6.3,10.0,8.6,9.4,8.2,0.0,0.19%,0.00%,0.5539%,0.00%,8.22%,0.04%,0.15%,0.00%,9.6,0.0,7.0,6.5,5.0,9.1,0.2,6.4,5.7,0.0,1.0,9.5,0.1,9.6,4.4,7.9,0.0,6.9,7.1,5.7,8.3,7.1,0.5,0.0,0.3,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,7.9,7.0%,0.7,5.3,3.4,0.00%,0.0,1.9,8.4,14.71%,1.5,6.0,8.7,25.45%,2.5,6.6,5.2,0.0,0.0,x,0.0,9.1,0.2,8.1,0.8,4.6,3.1,0.5,0.0,3.1,0.0,0.0,0.01%,9.0,0.0,4.5,2.5,2.9,6.0,0.1,0.0,0.1,,
Kuwait,KWT,0.0,0.1,0.1,3.5,0.0,0.0,0.0,0.0,5.3,0.0,0.00%,0.00%,0.1094%,0.00%,0.00%,0.00%,0.09%,0.00%,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,3.7,0.0,0.0,5.2,0.0,5.8,2.9,3.9,0.12%,0.0,2.2,x,x,x,x,x,x,x,x,x,x,x,x,2.2,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,7.7,59.14%,5.9,6.9,7.8,63.72%,6.4,7.2,4.4,0.0,0.0,x,0.0,7.9,1.9,10.0,x,6.6,4.4,0.0,0.2,4.0,0.0,0.0,0.01%,8.6,2.0,5.3,3.1,3.6,2.4,0.3,0.0,0.2,,
Kyrgyzstan,KGZ,6.9,7.1,7.0,4.6,0.0,0.0,0.0,0.0,0.0,9.4,0.21%,0.07%,0.2054%,0.00%,0.00%,0.00%,0.00%,0.84%,10.0,3.4,8.2,4.9,0.0,0.0,0.0,0.0,0.0,2.8,1.0,8.5,5.3,0.0,0.0,0.0,7.3,7.7,4.8,0.0,0.0,0.0,4.2,8.3,6.3,8.2,85.69%,9.5,8.9,x,x,x,x,x,x,x,x,x,x,x,x,8.9,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,4.0,0.09%,0.0,2.2,0.0,0.00%,0.0,0.0,0.6,0.2,1.5,0.0,0.6,5.2,5.4,3.8,5.1,4.9,3.5,0.3,3.8,3.9,0.0,0.4,0.06%,3.8,6.0,4.9,3.1,5.0,4.1,0.6,0.0,0.3,,
Lao PDR,LAO,5.6,1.5,3.8,7.2,0.0,4.5,0.0,2.5,0.0,4.4,0.06%,0.00%,2.4505%,0.00%,0.06%,0.00%,0.00%,0.01%,3.1,0.0,1.7,9.0,0.0,0.1,0.0,0.1,0.0,0.0,2.9,4.4,0.8,2.3,0.0,1.2,2.5,2.8,8.2,0.0,1.4,0.0,2.7,0.0,1.4,8.0,51.55%,5.7,7.0,x,x,x,x,x,x,x,x,x,x,x,x,7.0,8.0,52.0%,5.2,6.8,8.2,74.75%,8.3,8.3,8.1,61.77%,6.2,7.3,8.4,96.98%,9.7,9.2,8.0,2.3,2.4,4.4,3.0,5.0,6.2,3.8,6.7,5.4,4.6,6.1,3.5,5.2,5.4,3.6,0.08%,2.0,6.0,4.0,4.3,6.2,3.6,0.3,0.0,0.2,,
Latvia,LVA,0.1,0.1,0.1,5.0,0.0,0.0,0.0,0.0,3.4,0.0,0.00%,0.00%,1.1825%,0.00%,0.00%,0.00%,0.03%,0.00%,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,6.6,0.0,0.0,3.6,0.0,5.0,2.5,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.8,0.2,x,0.5,4.9,0.6,6.9,0.6,3.3,2.4,0.1,0.0,2.2,0.0,0.3,0.05%,5.3,2.0,3.7,2.1,1.2,2.4,0.1,0.0,0.1,,
Lebanon,LBN,6.6,7.7,7.2,0.0,3.4,0.0,0.0,0.0,3.6,0.0,0.21%,0.14%,0.0000%,0.00%,0.00%,0.00%,0.01%,0.00%,10.0,7.0,9.0,0.0,4.4,0.0,0.0,0.0,2.8,0.0,0.0,8.3,7.4,0.0,0.0,0.0,0.0,8.2,0.0,3.9,0.0,3.2,0.0,5.8,2.9,3.6,0.06%,0.0,2.0,x,x,x,x,x,x,x,x,x,x,x,x,2.0,0.0,0.0%,0.0,0.0,6.4,5.60%,0.6,4.1,8.0,73.12%,7.3,7.7,7.0,15.23%,1.5,4.8,4.7,0.1,1.2,x,0.7,9.1,0.0,8.9,x,6.0,4.2,0.5,1.9,4.1,0.0,0.4,0.00%,9.6,4.0,6.8,3.8,3.7,3.7,6.5,6.0,6.3,,
Lesotho,LSO,0.1,0.1,0.1,1.9,0.0,0.0,0.0,0.0,0.0,10.0,0.00%,0.00%,0.0422%,0.00%,0.00%,0.00%,0.00%,5.48%,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,10.0,7.6,0.1,0.1,0.0,0.0,0.0,10.0,0.1,2.1,0.0,0.0,0.0,8.8,4.2,6.5,6.7,19.53%,2.2,4.8,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,1.5,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,5.5,4.3,9.4,6.4,6.3,5.2,3.0,4.3,4.7,5.3,2.8,4.2,4.3,5.0,6.1,0.04%,5.9,2.0,4.0,4.8,3.2,2.1,0.1,0.0,0.1,,
Liberia,LBR,0.1,0.1,0.1,6.4,2.0,0.0,0.0,0.0,4.4,0.0,0.00%,0.00%,1.5648%,0.00%,0.00%,0.00%,0.03%,0.00%,0.0,0.0,0.0,8.2,2.8,0.0,0.0,0.0,3.7,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,7.4,2.4,0.0,4.1,0.0,0.8,0.4,7.5,32.34%,3.6,5.9,8.2,14.13%,10.0,9.3,9.3,70.50%,10.0,9.7,7.4,4.86%,7.4,7.4,8.5,8.2,100.0%,10.0,9.3,8.0,74.70%,8.3,8.2,7.9,61.40%,6.1,7.1,8.2,92.44%,9.2,8.8,8.5,8.6,4.1,9.7,7.5,5.8,6.2,5.4,6.4,6.0,6.5,6.7,5.9,6.1,10.0,8.1,x,x,6.0,6.0,6.7,7.7,3.9,0.2,0.0,0.1,,
Libya,LBY,4.1,0.1,2.3,1.2,5.0,0.0,0.0,0.0,5.7,0.0,0.02%,0.00%,0.0072%,0.00%,0.00%,0.00%,0.08%,0.00%,1.0,0.0,0.5,0.0,5.8,0.0,0.0,0.0,5.0,0.0,0.0,2.6,0.1,0.0,0.0,0.0,0.0,1.4,0.6,5.4,0.0,5.4,0.0,10.0,5.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,7.3,18.86%,2.1,5.3,8.1,69.94%,7.0,7.6,6.9,9.52%,1.0,4.6,4.9,0.9,0.0,x,0.5,1.9,3.0,8.2,x,4.4,3.1,1.8,2.4,3.5,0.2,0.4,0.02%,7.8,4.0,5.9,3.3,3.0,3.3,1.8,0.9,1.4,,
Liechtenstein,LIE,0.5,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.21%,0.00%,0.4095%,0.00%,0.00%,0.00%,0.00%,0.00%,10.0,0.0,7.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.1,0.0,0.0,0.0,0.0,5.0,3.6,0.0,0.0,0.0,0.0,x,0.0,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,x,0.0,8.0,2.4,1.5,0.6,3.1,2.1,x,0.0,2.5,0.0,0.0,0.02%,7.9,2.0,5.0,2.5,1.2,1.6,0.0,0.0,0.0,,
Lithuania,LTU,0.1,0.1,0.1,4.7,0.0,0.0,0.0,0.0,3.3,0.0,0.00%,0.00%,0.6315%,0.00%,0.00%,0.00%,0.02%,0.00%,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,3.2,0.0,2.9,0.1,0.1,0.0,0.0,0.0,0.0,0.1,5.8,0.0,0.0,3.3,1.5,4.2,2.9,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.5,0.3,x,0.4,5.5,3.5,6.9,1.0,4.2,2.9,0.1,0.0,2.8,0.0,0.3,0.09%,1.4,0.0,0.7,1.3,1.1,2.2,0.1,0.0,0.1,,
Luxembourg,LUX,0.0,0.1,0.1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.1184%,0.00%,0.00%,0.00%,0.00%,0.00%,0.1,0.0,0.1,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,2.9,0.0,0.0,0.0,0.0,2.5,1.3,0.0,0.00%,0.0,0.0,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.3,0.0,x,0.2,8.0,5.1,9.2,1.0,5.8,3.9,0.0,0.1,3.9,0.0,0.1,0.04%,6.4,0.0,3.2,2.4,1.7,0.9,0.1,0.0,0.1,,
Madagascar,MDG,0.0,0.1,0.1,6.5,6.7,9.5,8.6,9.1,7.3,10.0,0.00%,0.00%,0.3243%,0.00%,2.31%,0.07%,0.09%,0.52%,0.0,0.0,0.0,5.6,6.0,2.6,0.4,1.6,5.1,1.7,7.6,0.0,0.1,6.1,4.5,5.4,7.9,0.1,6.1,6.4,6.7,6.3,7.8,0.8,4.3,8.9,57.46%,6.4,7.9,5.2,0.04%,0.1,3.0,0.0,0.00%,0.0,0.0,8.1,2.23%,6.7,7.5,5.4,9.3,100.0%,10.0,9.7,8.4,25.68%,2.9,6.4,9.1,71.75%,7.2,8.3,9.0,61.56%,6.2,7.9,8.3,9.5,7.8,7.7,8.3,5.7,8.1,4.1,6.3,6.1,6.8,7.3,6.4,6.3,10.0,8.8,0.01%,9.2,6.0,7.6,7.6,7.2,5.6,0.4,0.0,0.2,,
Malawi,MWI,8.3,0.1,5.5,5.2,0.0,0.0,0.0,0.0,0.0,10.0,0.19%,0.00%,0.1294%,0.00%,0.00%,0.00%,0.00%,3.93%,9.4,0.0,6.8,4.1,0.0,0.0,0.0,0.0,0.0,10.0,7.6,8.9,0.1,0.0,0.0,0.0,10.0,6.2,4.7,0.0,0.0,0.0,8.8,2.5,5.7,8.0,20.00%,2.2,5.8,5.8,0.15%,0.3,3.5,0.0,0.00%,0.0,0.0,7.1,0.84%,5.8,6.5,4.4,9.0,100.0%,10.0,9.6,7.9,15.84%,1.8,5.6,9.0,86.06%,8.6,8.8,8.6,45.38%,4.5,7.0,8.1,5.6,4.7,8.5,6.3,7.7,8.4,1.8,5.7,5.9,6.0,4.2,6.3,5.7,0.9,4.9,0.01%,9.5,8.0,8.8,6.5,6.4,3.8,0.2,0.0,0.1,,
Malaysia,MYS,5.4,0.1,3.2,7.1,5.8,0.0,0.0,0.0,7.4,9.5,0.01%,0.00%,0.5291%,0.00%,0.00%,0.00%,0.09%,0.18%,0.6,0.0,0.3,6.4,4.9,0.0,0.0,0.0,5.1,0.6,1.9,3.0,0.1,0.0,0.0,0.0,7.0,1.9,6.8,5.4,0.0,6.4,4.5,1.7,3.1,1.7,0.00%,0.0,0.9,x,x,x,x,x,x,x,x,x,x,x,x,0.9,7.3,4.0%,0.4,4.7,9.3,88.36%,9.8,9.6,9.3,91.22%,9.1,9.2,9.3,96.73%,9.7,9.5,8.8,0.4,0.5,x,0.5,6.7,3.4,7.9,x,6.0,4.2,2.4,0.8,4.2,0.1,0.3,0.01%,9.1,2.0,5.6,3.4,5.2,4.5,0.3,0.0,0.2,,
Maldives,MDV,0.1,0.1,0.1,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0000%,0.04%,0.00%,0.00%,0.00%,0.00%,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,9.0,0.0,0.0,0.0,x,0.0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0,0.0%,0.0,0.0,0.0,0.00%,0.0,0.0,4.7,4.01%,0.4,2.8,0.0,0.00%,0.0,0.0,0.8,0.0,0.1,0.4,0.2,10.0,1.0,4.2,8.5,5.9,4.0,3.9,0.4,4.7,0.0,0.1,0.00%,9.9,2.0,6.0,3.6,2.9,2.7,0.1,0.0,0.1,,
Mali,MLI,0.1,0.1,0.1,7.7,0.0,0.0,0.0,0.0,0.0,10.0,0.00%,0.00%,1.3895%,0.00%,0.00%,0.00%,0.00%,1.66%,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.5,7.6,0.1,0.1,0.0,0.0,0.0,8.6,0.1,7.9,0.0,0.0,0.0,8.1,7.5,7.8,8.7,51.95%,5.8,7.5,0.0,0.00%,0.0,0.0,8.9,9.15%,9.2,9.1,0.0,0.00%,0.0,0.0,5.6,9.1,100.0%,10.0,9.6,8.1,18.12%,2.0,5.9,9.1,99.52%,10.0,9.6,9.0,88.81%,8.9,9.0,8.9,5.5,2.7,8.3,5.5,4.2,9.4,4.6,9.5,6.9,6.4,10.0,8.2,7.7,1.5,4.5,0.01%,9.3,2.0,5.7,6.0,7.0,4.3,10.0,9.5,9.8,,
