COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
India,IND,5.4,High,35,2,8.6,7.9,8.3,9.2,7.8,7.7,7.8,6.3,7.4,9.1,10,7.4,4.5,4.1,6,3.9,0.5,4.9,6.3,2.3,4.6,0.9,4.1,3.1,4,3.5,1.8,5.2,4.4,4.1,3.8,5.4,4,8%,YES,0.1
Indonesia,IDN,4.8,Medium,45,2,7.5,7.4,8.9,8.4,9.3,1.5,8.1,3.3,7.2,7.5,8.7,5.6,3.4,3.2,4,4.6,0.2,3.6,4.2,2.7,2.8,3.9,2.2,2.9,4.3,4.4,3.3,5.4,4.1,2.2,3.9,6.2,3,6%,,0.15
Iran,IRN,5.4,High,35,4.9,7.3,6.7,9.3,7.3,5.5,1.6,7.4,6.4,6.3,7.8,9.4,4.7,4.8,2.4,2.4,4.5,0.1,6.5,9,0.1,1,0.6,2.2,1,4.5,5.8,4.4,7.2,2.9,1.6,3.6,3.4,6,12%,,0.44
Iraq,IRQ,6.4,High,20,3.3,8,5.9,5.1,9.6,0,0,4.5,7.5,7,9.2,10,7.7,5.2,3.8,5.1,4.3,0.8,6.3,8.7,0.3,1.4,0,4.1,1.6,6.4,8.1,8.4,7.7,3.7,2.6,3.2,5.2,3,6%,YES,0.34
Ireland,IRL,1.7,Very Low,177,3.6,1.2,2.2,0.1,3.5,1.8,0,5.9,0.9,1.7,0.1,0.1,0,2.7,0.3,0,1.2,0,4.5,7.2,0.2,0.2,0,0,0.1,1.5,2.1,x,2.1,0.9,1.6,0.7,0.5,12,24%,,0.07
Israel,ISR,3.4,Medium,92,5.6,6.6,3.5,6.9,0.3,2.7,0,2.4,5.3,4.5,8.4,7.9,8.9,3.1,0.6,0,2.2,0.1,5,7.7,0,0.3,0,0,0.1,1.9,3.2,x,3.2,0.5,1.2,0,0.4,13,25%,YES,0.19
Italy,ITA,2.5,Low,136,3.1,2.9,5,7.7,6.2,6.1,0,6.5,2.7,2,0.1,0.2,0,2.7,0.4,0,1.6,0.1,4.5,7.1,0.2,0.2,0,0.1,0.1,2.1,3.4,2.4,4.3,0.6,1.3,0,0.4,8,16%,,0.18
Jamaica,JAM,2.9,Low,115,4,2.9,5,7.9,0,0,8.2,5.5,2.7,5.1,0.1,0.1,0,2.3,3.7,3.9,4.3,2.6,0.6,0,0.9,1,0,2.7,1.2,3.5,4,3.3,4.7,2.9,2.2,1.9,4.7,8,16%,,0.35
Japan,JPN,2.3,Low,152,5.1,5.5,8.3,9.7,7.8,10,9.2,9.4,0.4,3.4,0.1,0.1,0,1.6,0.4,0,1.5,0,2.6,4.1,0.1,0.5,0,2.7,0.9,1.4,2.1,1.9,2.3,0.7,1.1,0.1,1,9,18%,,0.5
Jordan,JOR,3.7,Medium,79,3.6,1.9,3.3,7.3,0.4,0,0,0.2,6.7,3.9,0.3,0.6,0,6.1,3.4,2.1,4.1,5.3,7.9,10,0.1,0.9,0,5,1.8,4.3,5.6,6.1,5,2.7,2.1,2.4,3.6,6,12%,,0.38
Kazakhstan,KAZ,2.5,Low,136,3.4,2.2,3.9,5.6,7.6,0,0,0,6.1,3.8,0.1,0.2,0,2.1,1.2,1.4,1.8,0.1,3,4.9,0.7,0.6,0.6,0.4,0.6,3.5,4.6,3.8,5.4,2.1,1.1,3.5,1.7,5,10%,,0.39
Kenya,KEN,6.2,High,22,0.8,6.7,4.2,2.8,5.1,3.2,0,2.7,6.7,6.6,8.3,9.3,6.7,6.1,5.4,7.3,5.3,1.8,6.7,8,3.1,2.7,1.2,8.7,4.8,5.7,5.1,3.9,6.3,6.3,4.2,7.8,7,0,0%,,0.11
Kiribati,KIR,3.6,Medium,86,7,2.5,4.4,0.1,0,7.7,0,8.4,3.5,4.7,0,0,0,3.9,5.2,6.3,0.7,7.3,2.4,0,8.9,2.9,0,0.7,4.3,4.7,4.7,x,4.7,4.6,4.3,3.9,5.5,12,24%,,0.71
Korea DPR,PRK,4.1,Medium,65,7.7,2.7,4.6,4.4,6.5,1,5.7,6.4,3.9,2.9,0.2,0.3,0,3.9,4.6,6.9,x,0,3.1,0,3.9,1.7,0,9.6,5.3,6.6,8.1,x,8.1,4.4,5.9,3.4,4,15,29%,,0.69
Korea Republic of,KOR,2,Very Low,164,3.5,3.6,6,6.9,7.1,5.7,8.3,7.1,0.3,2.9,0.1,0.1,0,1.4,0.3,0,1.2,0.1,2.3,3.9,0.2,0.2,0,0.8,0.3,1.5,2.3,1.5,3,0.6,0.8,0,1.1,8,16%,,0.26
