,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HFA Scores,DRR,Corruption Perception Index,Government Effectiveness,Governance,INFORM Institutional,Adult literacy rate,Access to electricity,Internet users,Mobile cellular subscriptions,Communication,Road density,Road density,Sanitation,Drinking water,Physical Connectivity,Physicians Density,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) (%),Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) (%),Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) (%),Immunization coverage,per capita public and private expenditure on health care,Maternal Mortality ratio,Access to health care Index,INFORM Infrastructure,
Korea DPR,PRK,x,x,8.3,7.9,8.1,8.1,0.0,4.5,10.0,9.1,5.9,29.1,7.2,1.7,1.2,3.4,0.8,10.0,10.0,x,10.0,x,1.2,4.0,4.4,
Korea Republic of,KOR,1.5,1.5,3.7,2.3,3.0,2.3,0.3,0.0,0.3,2.6,0.8,103.0,0.0,0.0,0.0,0.0,3.7,0.2,0.7,0.3,0.4,0.0,0.1,1.1,0.6,
Kuwait,KWT,x,x,5.4,4.8,5.1,5.1,0.8,0.0,0.0,1.0,0.5,52.2,4.8,0.0,0.0,1.6,4.3,0.5,0.8,0.0,0.4,0.3,0.1,1.3,1.1,
Kyrgyzstan,KGZ,3.7,3.7,7.4,6.8,7.1,5.4,0.1,0.0,2.2,3.6,1.5,19.8,8.1,0.2,1.8,3.4,4.6,1.5,0.7,1.2,1.1,9.1,0.6,3.9,2.9,
Lao PDR,LAO,6.1,6.1,7.2,6.2,6.7,6.4,2.6,0.0,3.8,6.9,3.3,10.8,9.0,2.3,2.9,4.7,9.2,3.2,7.5,3.6,4.8,9.4,1.4,6.2,4.7,
Latvia,LVA,x,x,4.0,3.6,3.8,3.8,0.0,0.0,0.9,4.3,1.3,90.0,1.0,0.8,0.2,0.7,1.6,0.7,2.2,2.0,1.6,0.0,0.2,0.9,1.0,
Lebanon,LBN,4.7,4.7,7.6,7.9,7.8,6.3,2.6,0.0,1.3,6.3,2.6,107.5,0.0,0.1,1.5,0.5,3.5,5.4,6.8,4.9,5.7,8.4,0.2,4.5,2.5,
Lesotho,LSO,8.4,8.4,6.1,6.8,6.5,7.5,3.6,5.0,5.2,6.8,5.2,18.1,8.3,5.5,5.2,6.3,8.9,2.0,4.1,2.0,2.7,9.3,6.3,6.8,6.1,
Liberia,LBR,x,x,7.5,7.9,7.7,7.7,8.4,6.8,6.6,8.6,7.6,9.0,9.2,8.6,4.9,7.6,9.9,3.6,6.8,4.2,4.9,9.3,7.2,7.8,7.7,
Libya,LBY,x,x,8.2,8.5,8.4,8.4,x,3.0,8.2,0.0,3.7,3.5,9.7,0.9,0.0,3.5,4.6,4.4,4.6,4.4,4.5,x,0.8,3.3,3.5,
Liechtenstein,LIE,x,x,x,2.0,2.0,2.0,x,0.0,0.4,3.8,1.4,687.5,0.0,0.0,0.0,0.0,x,x,x,x,x,x,x,x,0.7,
Lithuania,LTU,x,x,3.9,3.0,3.5,3.5,0.0,0.0,1.2,3.1,1.1,140.4,0.0,0.5,0.4,0.3,0.0,1.5,2.0,3.1,2.2,0.0,0.1,0.6,0.7,
Luxembourg,LUX,x,x,2.2,1.5,1.9,1.9,x,0.0,0.2,3.2,1.1,540.5,0.0,0.3,0.0,0.1,2.5,0.0,1.5,0.5,0.7,0.0,0.1,0.8,0.7,
Madagascar,MDG,4.7,4.7,7.5,7.0,7.3,6.0,4.4,6.4,8.0,6.7,6.4,7.9,9.3,9.5,9.3,9.4,9.5,7.1,10.0,7.1,8.1,10.0,4.4,8.0,7.9,
Malawi,MWI,4.0,4.0,6.6,6.7,6.7,5.4,5.9,8.6,7.6,7.2,7.3,19.1,8.2,5.6,5.6,6.5,9.9,2.2,6.6,2.0,3.6,9.8,4.2,6.9,6.9,
Malaysia,MYS,2.6,2.6,5.0,3.0,4.0,3.3,x,0.0,0.3,3.0,1.1,21.0,8.0,0.4,0.6,3.0,4.4,0.3,0.5,7.1,2.6,5.9,0.2,3.3,2.5,
Maldives,MDV,5.8,5.8,6.1,5.3,5.7,5.8,0.5,0.0,1.4,3.3,1.3,226.7,0.0,0.0,0.1,0.0,4.6,0.0,0.2,x,0.1,3.2,0.6,2.1,1.1,
Mali,MLI,4.9,4.9,7.2,7.4,7.3,6.1,9.9,4.7,6.6,4.4,6.4,9.0,9.2,5.5,3.3,6.0,9.7,3.7,9.3,3.7,5.6,9.8,4.9,7.5,6.6,
