Year (2020-2099),month,"Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Variability and Trends of Average Mean Surface Air Temperature across Seasonal Cycle, 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1 (Actual is Max not Mean)","Projected Precipitation 2020-2100; Morocco; SSP5-8.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP3-7.0, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP2-4.5, access-cm2_r1i1p1f1","Projected Precipitation 2020-2100; Morocco; SSP1-2.6, access-cm2_r1i1p1f1"
2031,NOV,15.89,15.13,17.98,15.69,21.39,20.51,23.55,20.95,5.95,9.48,14.39,24.74
2031,DEC,14.08,11.55,13.56,11.2,19.33,16.64,18.27,15.28,26.76,14.15,66.09,92.9
2032,JAN,11.2,10.62,13.1,10.2,16.94,15.99,19.1,14.69,5.44,32.02,18.46,44.7
2032,FEB,11.03,12.81,12.67,10.8,16.21,18.25,18.37,15.69,17.95,16.49,29.07,26.56
2032,MAR,13.3,14.16,12.49,15.39,19.03,19.44,17.46,20.94,35.07,40.89,50.54,30.26
2032,APR,18.18,17.07,19.18,18,24.19,22.69,25.56,23.74,16.97,49.17,10.54,20.16
2032,MAY,20.69,18.86,20.91,20.13,26.82,23.99,27.36,26.06,13.15,57.69,4.63,19.29
2032,JUN,26.01,23.26,24.78,26.39,32.66,29.45,30.94,33.09,5.42,7.06,13.96,6.1
2032,JUL,28.57,27.9,28.78,29.63,35.15,34.49,35.43,36.35,2,1.65,4.11,2.28
2032,AUG,29.28,29.15,28.54,29.79,35.87,35.84,34.99,36.36,2.76,1.63,2.62,2.81
2032,SEP,24.94,25.01,25.64,24.64,30.26,30.6,31.53,30.29,49.64,19.59,10.38,19.87
2032,OCT,20.67,21.49,22.22,19.03,25.57,27.32,27.29,24,45.52,11.16,30.92,30.65
2032,NOV,17.07,15.79,15.45,15.9,22.15,21.26,20.66,21.56,22.57,18.41,11.94,9.39
2032,DEC,13.28,13.19,12.36,12.78,19.23,18.84,17.58,18.43,3.3,14.79,20.98,19.4
2033,JAN,10.96,10.6,10.04,10.48,16.06,16.28,14.5,15.44,38.17,6.02,45.27,40.36
2033,FEB,14.92,12.32,12.01,14.37,20.11,17.11,17.35,19.79,32.72,74.95,16.36,19.76
2033,MAR,16.27,15.17,15.13,18.78,22.66,21.05,20.58,25.4,3.05,10.66,18.05,1.61
2033,APR,19.6,16.19,18.06,20.87,25.96,21.65,23.93,26.73,19.46,35.85,22.29,45.48
2033,MAY,23.48,21.11,18.48,20.37,29.47,27.52,24.04,25.63,37.53,9.38,24.93,66.22
2033,JUN,26.29,23.68,23.37,22.74,32.76,30.17,29.51,28.63,7.88,3,2.02,6.77
2033,JUL,29.78,29.1,28.47,27.8,36.42,36.04,35.52,34.57,2.39,1.07,1.09,0.98
2033,AUG,28.19,29.54,29.19,28.89,34.69,36.37,35.99,35.37,1.6,0.91,1.93,1.78
2033,SEP,26.36,24.81,25.65,25.85,32.51,30.89,31.97,32.19,17.4,9.63,10.56,2.17
2033,OCT,23.48,22.69,21.31,22.4,29.57,28.64,26.89,27.81,4.78,16.11,19.47,29.55
2033,NOV,18.71,16.67,15.38,16.59,24.55,22.51,20.25,22.32,15.95,7.78,44.14,7.8
2033,DEC,16.16,12.91,12.36,12.05,21.97,18.17,17.22,17.21,27.78,39.28,41.54,52.48
2034,JAN,12.44,11.03,11.12,10.91,17.27,16.57,15.92,16.09,72.39,20.47,36.87,28.17
2034,FEB,13.43,12.25,12.05,11.75,18.31,17.64,16.93,15.88,19.43,10.66,36.77,126.24
2034,MAR,13.83,15.36,14.93,15.03,19.05,21.2,20.66,20.29,36.47,14.5,40.67,45.08
